UserID,Train
36,"[581, 3142, 556, 1191, 3359, 553, 1283, 3827, 2774, 2269, 1701, 3786, 2369, 3174]"
37,"[2080, 2081, 1722, 497, 356, 357, 377, 2108, 2671, 361, 708, 1569, 236, 1457]"
38,"[2431, 1704, 1247, 500, 1088, 381, 3408, 1672, 47, 1620, 2096, 1, 588, 364]"
39,"[2772, 2599, 2959, 2716, 2580, 3578, 3175, 3160, 2723, 3623, 3753, 24, 2692, 2395]"
40,"[912, 3196, 1294, 1208, 1272, 1242, 2202, 2944, 2662, 897, 976, 3406, 3628, 356]"
41,"[0, 0, 0, 0, 0, 0, 531, 2067, 1721, 2628, 260, 1210, 1196, 1688]"
42,"[593, 2858, 919, 3421, 1265, 1079, 3868, 1257, 2915, 1663, 3526, 1968, 2423, 1297]"
43,"[356, 2371, 1307, 1197, 830, 2706, 2707, 2997, 3298, 2369, 2599, 2605, 2581, 2394]"
44,"[3612, 969, 1073, 733, 2406, 2167, 2006, 2, 316, 2135, 552, 741, 2011, 3928]"
45,"[3451, 2779, 3099, 3466, 3507, 3608, 2245, 2407, 3852, 2671, 52, 1580, 3516, 2496]"
46,"[1984, 1986, 891, 2107, 1974, 1975, 1976, 1977, 1978, 1979, 1980, 1981, 1407, 1717]"
47,"[0, 0, 0, 1193, 902, 527, 318, 858, 36, 1221, 1208, 2804, 1956, 1247]"
48,"[1036, 2947, 1242, 2993, 1101, 2115, 1479, 3404, 903, 913, 924, 1219, 608, 3363]"
49,"[474, 2278, 89, 288, 1101, 198, 380, 1676, 2641, 494, 1554, 1252, 3741, 1952]"
50,"[0, 0, 0, 0, 0, 0, 0, 2338, 902, 524, 2858, 2160, 3863, 3565]"
51,"[3556, 3785, 3793, 3618, 3553, 3409, 3484, 318, 3897, 1, 1265, 588, 3114, 3255]"
52,"[733, 780, 1608, 3107, 3274, 165, 1876, 1676, 1379, 517, 70, 1552, 886, 3020]"
53,"[259, 1290, 35, 1620, 81, 1888, 282, 697, 1918, 148, 268, 1836, 3045, 893]"
54,"[3504, 2300, 2788, 1304, 1278, 1235, 1394, 3363, 3685, 2150, 909, 235, 3671, 3037]"
55,"[0, 0, 3250, 593, 912, 3672, 2687, 678, 318, 527, 3114, 1704, 110, 2762]"
56,"[2355, 2359, 2427, 110, 2890, 2028, 1408, 151, 3948, 34, 39, 3114, 1923, 588]"
57,"[1249, 3578, 551, 3793, 3556, 661, 3794, 522, 2033, 3786, 1198, 3694, 1228, 1196]"
58,"[2454, 2528, 2640, 2011, 671, 3070, 2657, 2311, 2054, 674, 2364, 316, 780, 2613]"
59,"[509, 1066, 58, 2919, 959, 1304, 3359, 1234, 1283, 1226, 515, 608, 1935, 2028]"
60,"[2094, 60, 2617, 1894, 1, 2396, 2390, 1500, 2355, 356, 3176, 3386, 1422, 1459]"
61,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1721, 3578, 3753]"
62,"[1945, 1104, 904, 916, 899, 1944, 1283, 910, 2186, 2664, 3871, 969, 1946, 1203]"
63,"[2395, 2396, 2762, 3176, 2700, 2070, 3114, 2987, 2427, 2596, 1682, 70, 6, 1950]"
64,"[2028, 2913, 3793, 1416, 2700, 2762, 1291, 2115, 316, 1215, 2723, 110, 3578, 2710]"
65,"[2470, 2133, 2421, 2950, 2471, 1797, 3552, 1250, 1090, 1294, 3448, 1298, 3066, 2815]"
66,"[0, 0, 0, 0, 2028, 356, 344, 2858, 3578, 2791, 480, 524, 3753, 1196]"
67,"[954, 36, 1939, 1955, 3152, 3334, 3167, 1185, 150, 3685, 2067, 3471, 3424, 1954]"
68,"[2396, 1639, 1912, 3507, 2690, 562, 1307, 1080, 1243, 1073, 2064, 2324, 223, 2355]"
69,"[1466, 538, 1747, 2439, 26, 1784, 14, 1653, 1682, 1721, 161, 1357, 1810, 3148]"
70,"[3751, 2336, 2959, 3175, 2716, 3578, 3174, 2394, 1513, 2395, 43, 3081, 2396, 2700]"
71,"[0, 1432, 2640, 1198, 1250, 2791, 2948, 3785, 480, 3510, 648, 3717, 2683, 3285]"
72,"[2396, 356, 2324, 3255, 2997, 1188, 587, 3108, 11, 597, 3247, 500, 82, 593]"
73,"[785, 1028, 2657, 1371, 1374, 2001, 2105, 1205, 2370, 3444, 3868, 2081, 3552, 1297]"
74,"[3507, 3451, 1963, 296, 608, 800, 1041, 2357, 36, 3408, 3753, 1589, 1732, 164]"
75,"[780, 480, 2012, 788, 1831, 1544, 745, 2394, 1148, 1460, 2036, 2152, 216, 2555]"
76,"[778, 2501, 1584, 497, 1393, 3105, 3148, 474, 3793, 3578, 3300, 3452, 3717, 3827]"
77,"[0, 0, 0, 0, 0, 0, 0, 0, 2858, 2683, 2997, 3751, 2759, 2599]"
78,"[298, 1243, 1414, 3175, 2384, 2499, 1794, 1042, 52, 471, 1171, 2155, 2302, 1517]"
79,"[0, 0, 0, 0, 3341, 40, 3793, 3159, 3624, 1997, 3510, 3409, 800, 1617]"
80,"[3147, 3418, 356, 3148, 2687, 2006, 3809, 231, 364, 1265, 2427, 597, 1356, 1408]"
81,"[1198, 908, 968, 1084, 973, 2028, 913, 3468, 1214, 3836, 1284, 1299, 3334, 3543]"
82,"[1343, 1610, 587, 733, 2278, 2353, 3256, 349, 1407, 832, 3044, 230, 1370, 1722]"
83,"[2174, 247, 3479, 260, 2797, 2872, 1073, 2968, 1097, 2138, 2140, 2161, 2193, 2005]"
84,"[1215, 1799, 3578, 110, 260, 2028, 1197, 2571, 1200, 1214, 1240, 1291, 457, 1210]"
85,"[0, 0, 0, 0, 0, 3324, 3408, 3409, 3755, 3298, 3617, 3914, 3510, 2858]"
86,"[2184, 1344, 2485, 1721, 2762, 3489, 364, 1907, 2701, 1582, 1760, 2396, 2454, 260]"
87,"[1240, 2194, 589, 1387, 110, 3578, 457, 1291, 145, 2947, 1954, 733, 3178, 3555]"
88,"[1203, 2028, 924, 1228, 1198, 3068, 1957, 1962, 1307, 1259, 1293, 1674, 1956, 1300]"
89,"[0, 0, 0, 0, 0, 0, 0, 3173, 2028, 1193, 920, 1961, 2431, 2947]"
90,"[370, 257, 19, 2791, 2792, 63, 1136, 1080, 3624, 2273, 1284, 913, 903, 3896]"
91,"[3671, 1294, 921, 3543, 2863, 1500, 3104, 21, 1060, 1307, 3060, 2599, 2791, 497]"
92,"[546, 3526, 3397, 2918, 2134, 2413, 2072, 2717, 3438, 3466, 2015, 1291, 592, 3107]"
93,"[2193, 2167, 3704, 2990, 368, 648, 2273, 2826, 2763, 2476, 1587, 1377, 2376, 2699]"
94,"[0, 0, 0, 0, 0, 0, 908, 1961, 551, 2288, 2377, 2455, 2716, 3576]"
95,"[1485, 3175, 2718, 608, 2268, 1466, 47, 3266, 2002, 318, 593, 1280, 527, 36]"
96,"[1036, 2762, 2396, 2501, 150, 1277, 356, 1610, 1358, 3100, 161, 474, 589, 3147]"
97,"[2664, 1104, 3736, 1250, 916, 969, 899, 3196, 2565, 1944, 1945, 3871, 3035, 2186]"
98,"[0, 0, 0, 0, 0, 0, 0, 0, 2028, 920, 1250, 3507, 3578, 2791]"
99,"[1262, 1213, 1259, 1639, 919, 457, 3363, 364, 3421, 1393, 2352, 2018, 1529, 2797]"
100,"[260, 1198, 1210, 800, 1196, 858, 2028, 1291, 969, 1197, 21, 1954, 2406, 329]"
101,"[420, 145, 2763, 466, 849, 3208, 2524, 2826, 1385, 3268, 546, 376, 292, 2616]"
102,"[3435, 2935, 906, 913, 928, 2398, 930, 943, 1269, 2206, 1251, 1193, 3713, 922]"
103,"[95, 3697, 1917, 1918, 434, 208, 1037, 2002, 2881, 836, 2549, 1833, 1591, 393]"
104,"[3763, 2023, 2706, 2826, 2683, 2355, 2770, 3016, 2722, 1911, 3175, 2861, 2959, 3053]"
105,"[2288, 1127, 457, 2949, 3104, 3029, 1374, 2600, 3418, 3384, 2951, 555, 3256, 3527]"
106,"[945, 969, 1094, 497, 1674, 2020, 1307, 2080, 838, 3044, 911, 933, 2100, 2081]"
107,"[1272, 2917, 1231, 2819, 2186, 929, 2664, 1942, 3198, 1029, 1084, 1226, 933, 3365]"
108,"[0, 0, 0, 2006, 593, 2700, 3521, 1249, 2858, 1250, 2791, 1171, 3578, 2948]"
109,"[3361, 2136, 1073, 480, 2470, 2115, 2054, 1359, 780, 1097, 1920, 1269, 903, 924]"
110,"[2542, 293, 47, 2580, 2952, 2268, 2280, 1729, 592, 1732, 2231, 367, 1620, 3301]"
111,"[21, 1672, 1923, 11, 3108, 2359, 222, 1883, 357, 1845, 2671, 1517, 3252, 1542]"
112,"[364, 2899, 1248, 1252, 1260, 2066, 1284, 922, 2186, 3435, 2203, 1617, 942, 1069]"
113,"[1527, 1653, 32, 780, 1573, 2699, 316, 2094, 1037, 1831, 185, 2672, 3354, 3536]"
114,"[1014, 2116, 2, 2090, 1009, 1030, 1018, 1848, 455, 260, 2664, 3471, 594, 1288]"
115,"[2028, 1407, 3101, 3793, 3300, 3745, 3948, 3578, 2858, 2791, 3159, 3751, 3481, 480]"
116,"[2021, 2105, 788, 3793, 3556, 1997, 3617, 3744, 1090, 1258, 1274, 924, 1222, 1036]"
117,"[2531, 2901, 3032, 2365, 2530, 3926, 2615, 1762, 2665, 919, 1220, 2135, 914, 551]"
118,"[1257, 2000, 3072, 1580, 357, 1663, 1226, 1304, 1294, 892, 3035, 3552, 39, 1517]"
119,"[1028, 1032, 34, 2876, 2096, 2097, 837, 2059, 1022, 588, 595, 1907, 586, 2085]"
120,"[527, 1213, 1276, 3783, 50, 1221, 296, 1234, 3104, 2542, 2804, 1198, 318, 1136]"
121,"[3699, 1356, 2346, 2365, 1584, 2901, 610, 1375, 3704, 3033, 1676, 2105, 3934, 674]"
122,"[2529, 457, 1200, 1291, 1954, 2692, 1210, 1220, 592, 733, 3178, 1722, 3527, 2763]"
123,"[1012, 2871, 1287, 1333, 1955, 3296, 906, 3386, 948, 599, 2144, 1641, 1672, 1693]"
124,"[902, 1343, 3101, 2302, 3107, 1650, 527, 1358, 3418, 3078, 1693, 678, 531, 2912]"
125,"[2916, 3654, 2947, 3836, 3527, 1127, 2872, 1408, 3104, 1374, 3256, 2944, 1954, 2000]"
126,"[2947, 390, 589, 1220, 1416, 2369, 1230, 1415, 2291, 3668, 1188, 2020, 930, 2248]"
127,"[858, 1221, 1198, 1287, 1387, 1954, 1304, 2692, 1197, 1291, 2529, 1953, 3418, 474]"
128,"[0, 0, 2253, 3073, 852, 3132, 2533, 1210, 1250, 2948, 1249, 1282, 2160, 2858]"
129,"[1647, 2561, 1252, 541, 1267, 3683, 260, 2871, 1259, 590, 1275, 1261, 1615, 2470]"
130,"[2353, 3639, 1722, 2490, 198, 353, 2989, 3444, 3633, 368, 2985, 2991, 2393, 3197]"
131,"[778, 1339, 1366, 17, 159, 509, 3416, 1748, 912, 1203, 3267, 175, 117, 1248]"
132,"[2502, 3424, 69, 2423, 2706, 2406, 2371, 104, 367, 3052, 1580, 1858, 2883, 585]"
133,"[1959, 2906, 3176, 2841, 2763, 597, 3824, 3261, 350, 1408, 1619, 1727, 1614, 1670]"
134,"[457, 474, 2058, 2879, 1608, 2334, 2353, 2273, 112, 1586, 1858, 1429, 1711, 3897]"
135,"[3160, 3174, 2709, 2723, 2502, 2394, 2598, 2686, 2692, 2395, 2396, 2762, 3176, 2700]"
136,"[1449, 2791, 1259, 3794, 1078, 1285, 471, 3538, 562, 1517, 2109, 3398, 2463, 3087]"
137,"[597, 249, 587, 252, 236, 3, 736, 1527, 1573, 2393, 780, 1876, 50, 1343]"
138,"[3265, 3364, 1912, 2692, 1089, 1234, 2194, 3783, 1396, 3328, 293, 2000, 1227, 2159]"
139,"[1258, 1387, 1333, 3499, 1994, 1997, 1347, 2097, 1345, 1339, 2710, 364, 2090, 1294]"
140,"[3751, 3793, 3536, 3095, 2937, 1212, 1284, 913, 930, 918, 2612, 906, 946, 3535]"
141,"[0, 0, 0, 0, 0, 1721, 1250, 266, 3578, 2791, 480, 490, 913, 942]"
142,"[3578, 296, 50, 318, 1089, 2997, 529, 2321, 2890, 223, 1, 595, 364, 260]"
143,"[1722, 10, 349, 2427, 3256, 380, 648, 1265, 1393, 1680, 249, 3114, 2324, 1784]"
144,"[0, 0, 0, 1961, 1797, 527, 2433, 2605, 3408, 3578, 3753, 2686, 3185, 2763]"
145,"[0, 0, 0, 0, 0, 2858, 2707, 2997, 2908, 2541, 223, 2599, 2959, 2333]"
146,"[50, 778, 2393, 3418, 3552, 2947, 10, 2920, 293, 1357, 950, 3853, 978, 1256]"
147,"[1393, 2797, 2005, 2054, 2, 3763, 1396, 1645, 1805, 1799, 2764, 1059, 440, 11]"
148,"[2805, 370, 798, 2335, 577, 673, 239, 1588, 2953, 455, 1474, 2152, 1731, 2828]"
149,"[3275, 3744, 3625, 3189, 3567, 1942, 3396, 3398, 647, 1734, 1344, 1321, 1955, 3077]"
150,"[1208, 3135, 1954, 1955, 3733, 3152, 1350, 2303, 3751, 1594, 265, 1252, 2932, 3826]"
151,"[2009, 2528, 674, 1297, 2872, 2161, 2193, 858, 1225, 1104, 1300, 1233, 1251, 3089]"
152,"[839, 10, 1753, 1968, 3114, 3255, 2804, 180, 2716, 2396, 1884, 1136, 1, 223]"
153,"[0, 325, 3253, 2858, 2572, 3484, 2706, 3617, 608, 3908, 3450, 3, 2959, 2694]"
154,"[0, 0, 0, 0, 0, 1912, 2826, 2858, 2997, 3203, 1093, 2336, 2599, 2959]"
155,"[2424, 587, 236, 586, 3500, 2252, 3470, 593, 3415, 1221, 2028, 2728, 1227, 1208]"
156,"[1892, 1092, 1422, 2749, 2875, 912, 916, 928, 899, 920, 265, 17, 1247, 2067]"
157,"[527, 1204, 1208, 1263, 1299, 3062, 3811, 1217, 3654, 2944, 1222, 1090, 1408, 3519]"
158,"[0, 0, 0, 912, 943, 376, 3713, 3435, 239, 1284, 73, 2019, 2973, 1262]"
159,"[2706, 2572, 2718, 2599, 2688, 2396, 2485, 2724, 2763, 2987, 3751, 3615, 2881, 3408]"
160,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 260, 1396, 1282]"
161,"[3386, 848, 2401, 1729, 538, 6, 3507, 1271, 3471, 1094, 230, 1955, 2797, 3071]"
162,"[3301, 19, 344, 3624, 648, 3755, 3536, 3916, 3452, 3744, 3821, 1, 1500, 104]"
163,"[2617, 288, 3020, 1378, 70, 39, 1183, 1777, 539, 1721, 2496, 1407, 2710, 253]"
164,"[1283, 356, 3196, 1937, 2996, 3148, 943, 2067, 2100, 1250, 2947, 3330, 2206, 899]"
165,"[2789, 3032, 2346, 3366, 2183, 2700, 3061, 2863, 2946, 3922, 2035, 3921, 3924, 3624]"
166,"[2014, 2794, 88, 2018, 2139, 1032, 2846, 1021, 1367, 3399, 609, 3673, 2137, 8]"
167,"[0, 0, 1693, 3481, 3916, 3554, 3578, 3298, 3755, 3861, 3515, 3534, 3949, 3285]"
168,"[0, 0, 1371, 1097, 1221, 1840, 608, 2599, 2395, 260, 1196, 1394, 3591, 2716]"
169,"[1876, 2613, 3697, 5, 1729, 3948, 3617, 3825, 3916, 2335, 3254, 1073, 2087, 1275]"
170,"[3736, 923, 3469, 593, 2324, 527, 1237, 1178, 912, 3468, 1225, 1283, 1748, 908]"
171,"[0, 1834, 3448, 1230, 527, 858, 1073, 2966, 3578, 2791, 246, 1649, 162, 2677]"
172,"[0, 0, 0, 0, 0, 0, 0, 0, 3254, 3035, 2064, 162, 1179, 2203]"
173,"[515, 3508, 3359, 1265, 1250, 668, 3035, 3038, 3475, 971, 1946, 1103, 669, 970]"
174,"[3178, 3256, 1690, 2115, 1370, 1676, 2662, 353, 1101, 494, 3527, 3635, 3740, 3639]"
175,"[2761, 2333, 2137, 17, 25, 509, 1343, 555, 1921, 194, 3147, 2739, 3706, 1268]"
176,"[3591, 2081, 3087, 2795, 2003, 2011, 3033, 2416, 2372, 2470, 2794, 2369, 2405, 2717]"
177,"[1921, 1077, 480, 2677, 1197, 1204, 2987, 1198, 1291, 3168, 590, 3036, 2628, 904]"
178,"[2083, 48, 3675, 783, 1688, 1083, 3467, 1201, 2951, 1304, 3873, 1276, 3028, 909]"
179,"[2248, 3098, 1957, 1222, 1242, 1090, 3360, 2194, 3169, 1302, 3526, 1246, 2474, 3591]"
180,"[2076, 1361, 2997, 608, 2858, 1617, 34, 296, 593, 1358, 1041, 1094, 3897, 3916]"
181,"[1294, 1208, 1136, 1080, 1234, 3363, 3421, 2109, 3040, 1258, 593, 318, 589, 678]"
182,"[356, 39, 1500, 2700, 1265, 104, 1580, 2706, 2502, 3809, 3450, 2302, 1379, 296]"
183,"[2248, 3359, 1964, 50, 3361, 2757, 3724, 647, 3101, 2463, 1395, 3527, 2105, 2130]"
184,"[2018, 2140, 2078, 2355, 364, 594, 551, 2081, 2096, 1848, 2687, 1022, 1028, 1032]"
185,"[2006, 480, 1356, 1370, 1610, 1580, 2916, 780, 329, 2393, 303, 1801, 2617, 165]"
186,"[3113, 2336, 2599, 2428, 2716, 2580, 2688, 2995, 2606, 785, 2805, 2581, 2490, 24]"
187,"[35, 62, 480, 2108, 3263, 231, 14, 271, 2236, 3247, 2671, 2025, 663, 766]"
188,"[3682, 3712, 3578, 3452, 2826, 3516, 2976, 3203, 2599, 2959, 913, 3053, 3219, 2560]"
189,"[1097, 318, 1717, 170, 3916, 2762, 2858, 2329, 1378, 1379, 2706, 2572, 353, 175]"
190,"[1641, 2734, 474, 2706, 2000, 1968, 3101, 1298, 421, 1124, 594, 2096, 1029, 1732]"
191,"[0, 0, 0, 0, 0, 0, 260, 409, 19, 344, 1608, 2329, 2858, 1693]"
192,"[1186, 3457, 1185, 2918, 1222, 555, 593, 2762, 1032, 1307, 858, 2321, 3174, 1394]"
193,"[1233, 3153, 457, 3267, 3703, 377, 1204, 1073, 2968, 2871, 952, 1127, 1031, 3396]"
194,"[344, 3450, 440, 588, 2496, 2599, 216, 1042, 1513, 2321, 248, 587, 1753, 1367]"
195,"[910, 3095, 3088, 3090, 1953, 3062, 3504, 942, 2488, 1884, 950, 1090, 3658, 1949]"
196,"[3897, 3911, 296, 2858, 608, 1213, 3515, 3481, 3751, 908, 50, 1267, 1089, 903]"
197,"[0, 0, 0, 0, 0, 2272, 1197, 318, 593, 2324, 1222, 1060, 1259, 3160]"
198,"[750, 185, 1373, 1375, 1376, 1272, 2890, 1090, 383, 2478, 1653, 1203, 3147, 3717]"
199,"[434, 95, 1866, 1438, 3841, 71, 3534, 1203, 11, 2858, 1196, 849, 1457, 1744]"
200,"[0, 0, 0, 0, 0, 0, 0, 940, 2572, 170, 1441, 1059, 1127, 3051]"
201,"[377, 539, 2629, 1810, 1845, 265, 2858, 1641, 3534, 3147, 3948, 3566, 3317, 3512]"
202,"[1091, 586, 1405, 2249, 2694, 186, 2683, 289, 3033, 719, 2378, 3752, 3034, 3213]"
203,"[2959, 3250, 1213, 32, 16, 2268, 2443, 3178, 805, 1061, 222, 261, 1680, 3107]"
204,"[1220, 1292, 3508, 3100, 1101, 3552, 3763, 1957, 1136, 1304, 1299, 3360, 1955, 1231]"
205,"[1129, 2970, 1275, 1127, 1261, 1216, 3508, 3327, 2019, 858, 296, 1237, 3435, 3730]"
206,"[0, 0, 0, 0, 0, 0, 252, 1339, 3793, 1544, 3300, 1129, 480, 1196]"
207,"[0, 0, 0, 0, 0, 1210, 1196, 996, 1721, 3538, 2858, 3793, 3481, 3751]"
208,"[356, 3471, 1206, 1199, 2985, 1358, 47, 373, 1227, 3728, 628, 3505, 1250, 1090]"
209,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1270, 2671, 356]"
210,"[1792, 2826, 2881, 3113, 3257, 3274, 170, 1100, 153, 423, 558, 1431, 694, 1379]"
211,"[3627, 3578, 3510, 2948, 480, 3555, 3753, 3513, 490, 2160, 1129, 3917, 3484, 1286]"
212,"[2352, 3448, 1079, 2174, 2797, 3451, 587, 2245, 125, 344, 1485, 231, 500, 367]"
213,"[0, 920, 1608, 1210, 110, 260, 2355, 588, 1, 3114, 1042, 11, 2321, 852]"
214,"[2999, 1732, 1580, 1566, 543, 2539, 2718, 380, 2390, 368, 1701, 2195, 1057, 3046]"
215,"[3551, 480, 1097, 1617, 1676, 2916, 1584, 1876, 2094, 1372, 24, 2628, 316, 3755]"
216,"[2764, 2212, 1275, 3298, 1797, 1554, 3418, 3203, 2739, 3167, 154, 2077, 1124, 2433]"
217,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1197, 356, 2918, 1101, 50]"
218,"[3175, 233, 2333, 913, 2761, 2622, 2723, 2734, 3219, 2490, 3606, 1513, 2396, 2763]"
219,"[0, 0, 0, 0, 0, 0, 2028, 2795, 2858, 2657, 3408, 3863, 3911, 2683]"
220,"[2076, 2467, 2064, 2917, 1079, 800, 1617, 2686, 1484, 3176, 1589, 2583, 648, 1732]"
221,"[0, 0, 0, 0, 0, 0, 0, 0, 1270, 3897, 1617, 3386, 451, 3176]"
222,"[2628, 3438, 317, 2021, 653, 788, 1259, 1197, 592, 1291, 3512, 3452, 1250, 3578]"
223,"[832, 1693, 24, 2676, 3257, 3138, 2804, 1961, 1097, 1246, 2872, 2114, 2420, 3478]"
224,"[1584, 1210, 1396, 1356, 904, 527, 2692, 2762, 2396, 529, 1678, 3079, 1148, 910]"
225,"[1392, 3246, 3260, 32, 1, 342, 1050, 523, 364, 1610, 300, 483, 2442, 222]"
226,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 3072, 3361, 1968, 1079, 1036]"
227,"[0, 0, 0, 0, 0, 0, 0, 356, 1193, 2707, 2997, 1093, 2712, 2959]"
228,"[551, 3481, 3917, 3578, 480, 3555, 3753, 1544, 3300, 3513, 3916, 2710, 3793, 3717]"
229,"[86, 2771, 724, 2688, 2154, 2676, 1441, 1196, 260, 1210, 161, 3050, 62, 1282]"
230,"[3503, 3519, 1078, 2013, 1380, 1371, 1214, 3735, 1136, 2871, 2109, 2528, 3328, 3783]"
231,"[3361, 2000, 1036, 1307, 2144, 1286, 2248, 1674, 1220, 1246, 2194, 2110, 2797, 3397]"
232,"[2700, 1517, 2282, 101, 1966, 1449, 3108, 663, 342, 2355, 1784, 441, 1580, 471]"
233,"[918, 1947, 1032, 1035, 588, 2081, 3061, 364, 107, 1951, 3675, 3105, 318, 2028]"
234,"[1291, 1242, 318, 527, 2022, 1678, 1213, 1090, 508, 2971, 1619, 2497, 3053, 2020]"
235,"[2336, 300, 1094, 562, 3000, 2349, 1633, 2700, 2716, 1120, 475, 1948, 1354, 1365]"
236,"[3114, 2396, 1259, 1200, 1304, 1, 1961, 1036, 2324, 1307, 1196, 1197, 2571, 260]"
237,"[3809, 2724, 339, 5, 236, 1584, 3252, 1466, 1961, 1246, 2150, 1777, 1387, 3147]"
238,"[3108, 3037, 1682, 2852, 1747, 508, 3135, 3071, 85, 2310, 3386, 2025, 1693, 3178]"
239,"[3481, 1263, 1196, 1299, 1090, 1960, 1242, 2427, 2890, 110, 3911, 72, 745, 2435]"
240,"[1084, 112, 1396, 3763, 1196, 110, 1291, 1610, 1429, 2353, 2406, 1250, 1262, 1272]"
241,"[2288, 1748, 3702, 3576, 3699, 1376, 2287, 3175, 1127, 3265, 3267, 1912, 2028, 1233]"
242,"[1193, 3071, 272, 2195, 440, 2313, 1693, 2018, 3755, 1304, 3624, 2788, 1293, 2670]"
243,"[0, 1197, 1079, 920, 1125, 1234, 2858, 1, 1641, 1136, 2289, 2542, 933, 1172]"
244,"[2791, 2948, 3623, 1197, 2716, 1172, 1307, 2915, 3072, 2352, 2797, 2100, 3039, 858]"
245,"[1204, 1073, 2021, 1219, 1340, 2648, 2654, 1321, 2633, 1347, 1266, 1283, 3508, 3365]"
246,"[0, 595, 3450, 2028, 2918, 3363, 1270, 2354, 3114, 467, 1259, 2716, 3466, 2355]"
